
1550820848.143:  AA AA 04 80 02 01 FD 7F
1550820848.143:  AA AA 04 80 02 01 81 FB
1550820848.143:  AA AA 04 80 02 01 49 33
1550820848.143:  AA AA 04 80 02 01 24 58
1550820848.143:  AA AA 04 80 02 00 E4 99
1550820848.143:  AA AA 04 80 02 00 B9 C4
1550820848.143:  AA AA 04 80 02 00 8D F0
1550820848.143:  AA AA 04 80 02 00 49 34
1550820848.143:  AA AA 04 80 02 00 16 67
1550820848.143:  AA AA 04 80 02 00 24 59
1550820848.143:  AA AA 04 80 02 00 47 36
1550820848.143:  AA AA 04 80 02 00 43 3A
1550820848.143:  AA AA 04 80 02 FF F8 86
1550820848.143:  AA AA 04 80 02 FF 95 E9
1550820848.143:  AA AA 04 80 02 FF 45 39
1550820848.143:  AA AA 04 80 02 FF 45 39
1550820848.143:  AA AA 04 80 02 FF 8E F0
1550820848.143:  AA AA 04 80 02 FF C3 BB
1550820848.143:  AA AA 04 80 02 FF 98 E6
1550820848.143:  AA AA 04 80 02 FF 6C 12
1550820848.143:  AA AA 04 80 02 FF 9D E1
1550820848.143:  AA AA 04 80 02 FF E8 96
1550820848.143:  AA AA 04 80 02 00 16 67
1550820848.143:  AA AA 04 80 02 00 6A 13
1550820848.143:  AA AA 04 80 02 00 A6 D7
1550820848.143:  AA AA 04 80 02 00 C1 BC
1550820848.143:  AA AA 04 80 02 01 0A 72
1550820848.143:  AA AA 04 80 02 01 89 F3
1550820848.143:  AA AA 04 80 02 01 F7 85
1550820848.143:  AA AA 04 80 02 02 05 76
1550820848.143:  AA AA 04 80 02 01 DA A2
1550820848.143:  AA AA 04 80 02 01 AA D2
1550820848.143:  AA AA 04 80 02 01 7A 02
1550820848.143:  AA AA 04 80 02 01 33 49
1550820848.143:  AA AA 04 80 02 00 B2 CB
1550820848.143:  AA AA 04 80 02 FF ED 91
1550820848.143:  AA AA 04 80 02 FF 0F 6F
1550820848.143:  AA AA 04 80 02 FE 6F 10
1550820848.143:  AA AA 04 80 02 FE 2C 53
1550820848.143:  AA AA 04 80 02 FD DD A3
1550820848.143:  AA AA 04 80 02 FD 3E 42
1550820848.143:  AA AA 04 80 02 FC AD D4
1550820848.143:  AA AA 04 80 02 FC A4 DD
1550820848.143:  AA AA 04 80 02 FC E7 9A
1550820848.143:  AA AA 04 80 02 FC FE 83
1550820848.143:  AA AA 04 80 02 FC C3 BE
1550820848.143:  AA AA 04 80 02 FC 92 EF
1550820848.143:  AA AA 04 80 02 FC 8B F6
1550820848.143:  AA AA 04 80 02 FC 87 FA
1550820848.143:  AA AA 04 80 02 FC 57 2A
1550820848.143:  AA AA 04 80 02 FC 3A 47
1550820848.143:  AA AA 04 80 02 FB FD 85
1550820848.143:  AA AA 04 80 02 FB 5C 26
1550820848.143:  AA AA 04 80 02 FA C9 BA
1550820848.143:  AA AA 04 80 02 FA 58 2B
1550820848.143:  AA AA 04 80 02 F9 CE B6
1550820848.143:  AA AA 04 80 02 F9 BA CA
1550820848.143:  AA AA 04 80 02 FA 54 2F
1550820848.143:  AA AA 04 80 02 FB A4 DE
1550820848.143:  AA AA 04 80 02 FD CC B4
1550820848.143:  AA AA 04 80 02 FF 54 2A
1550820848.143:  AA AA 04 80 02 FF 37 47
1550820848.143:  AA AA 04 80 02 FE 4A 35
1550820848.143:  AA AA 04 80 02 FD F6 8A
1550820848.143:  AA AA 04 80 02 FE 9E E1
1550820848.159:  AA AA 04 80 02 FF 7A 04
1550820848.159:  AA AA 04 80 02 FF EE 90
1550820848.159:  AA AA 04 80 02 FF E9 95
1550820848.159:  AA AA 04 80 02 FF 5F 1F
1550820848.159:  AA AA 04 80 02 FE 87 F8
1550820848.159:  AA AA 04 80 02 FE 25 5A
1550820848.159:  AA AA 04 80 02 FE 83 FC
1550820848.159:  AA AA 04 80 02 FF 74 0A
1550820848.159:  AA AA 04 80 02 00 86 F7
1550820848.159:  AA AA 04 80 02 01 7D FF
